,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
82,nandurbar,38.2414,16.2623,86.58,57,0,4.63,IT,1627145479
83,nandurbar,-41.4122,175.5153,44.92,90,0,6.31,NZ,1627145479
84,nandurbar,-5.1989,-35.4608,88.7,50,12,20.29,BR,1627145222
85,nandurbar,73.5069,80.5464,38.03,96,100,31.14,RU,1627145382
86,nandurbar,-0.7393,-90.3518,78.76,85,34,8.01,EC,1627145380
87,nandurbar,28.017,-97.5169,91.49,45,0,14.23,US,1627145384
88,nandurbar,30.6945,78.4932,69.48,95,89,1.45,IN,1627145480
89,nandurbar,27.9769,-114.0611,75.83,63,100,8.25,MX,1627145250
90,nandurbar,14.8961,-24.4956,74.52,73,83,7.74,CV,1627145431
91,nandurbar,10.9995,122.6711,77.67,86,98,10.87,PH,1627145224
92,nandurbar,60.9167,-46.05,44.76,96,100,6.02,GL,1627145431
93,nandurbar,48.6499,-53.1147,67.12,79,71,5.1,CA,1627145481
94,nandurbar,22.2855,114.1577,87.85,89,89,1.01,HK,1627145306
95,nandurbar,-6.05,26.9167,87.08,25,36,3.69,CD,1627145482
96,nandurbar,-33.8667,121.9,51.64,80,12,18.39,AU,1627145416
97,nandurbar,-26.6481,15.1594,64.58,33,5,6.42,NA,1627145167
98,nandurbar,20.8667,-90.4,86.43,65,55,6.98,MX,1627145483
99,nandurbar,4.8256,8.2343,76.62,84,95,6.15,NG,1627145484
100,nandurbar,-32.7167,152.15,57.11,58,28,4.0,AU,1627145484
101,nandurbar,-33.295,-66.3356,61.88,38,0,7.7,AR,1627145484
102,nandurbar,63.9061,38.1404,52.97,62,100,7.43,RU,1627145485
103,nandurbar,57.5058,-1.7981,67.44,82,11,12.12,GB,1627145485
104,nandurbar,37.1041,-113.5841,91.35,46,1,1.99,US,1627145250
105,nandurbar,-42.8794,147.3294,45.27,79,99,5.01,AU,1627145169
106,nandurbar,51.3813,1.3862,71.11,81,35,3.4,GB,1627145428
107,nandurbar,41.1667,-4.0,83.68,19,99,14.14,ES,1627145486
108,nandurbar,-42.7826,147.0587,44.92,83,100,1.01,AU,1627145384
109,nandurbar,70.3705,31.1107,46.18,82,97,27.78,NO,1627145487
110,nandurbar,-42.7692,-65.0385,49.89,44,100,17.16,AR,1627145213
111,nandurbar,47.5,-0.5833,69.78,89,100,13.44,FR,1627145487
112,nandurbar,53.1333,132.9,61.61,97,98,3.56,RU,1627145488
113,nandurbar,34.9072,48.4414,84.61,14,1,4.63,IR,1627145488
114,nandurbar,-2.0226,147.2712,79.81,82,12,7.05,PG,1627145309
115,nandurbar,58.0106,114.2769,59.92,73,82,2.8,RU,1627145441
116,nandurbar,34.7334,-86.5667,89.1,70,1,1.99,US,1627145030
117,nandurbar,-33.0117,17.9442,62.65,64,9,7.81,ZA,1627145220
118,nandurbar,38.7333,-27.0667,80.85,69,20,14.9,PT,1627145489
119,nandurbar,-2.6741,141.3028,75.2,94,99,3.89,PG,1627145490
120,nandurbar,6.3833,10.0667,67.44,96,95,2.39,CM,1627145491
121,nandurbar,4.423,-7.3528,78.13,68,97,7.52,CI,1627145415
122,nandurbar,67.45,153.6833,45.25,75,92,11.07,RU,1627145481
123,nandurbar,55.6848,76.7471,70.11,76,19,6.53,RU,1627145492
124,nandurbar,-33.5906,26.891,58.39,71,0,22.12,ZA,1627145387
125,nandurbar,37.7333,-25.6667,74.12,83,20,17.27,PT,1627145329
126,nandurbar,-21.3585,55.7679,71.15,80,67,6.26,RE,1627145395
127,nandurbar,39.05,-27.9833,71.08,95,13,14.9,PT,1627145424
128,nandurbar,18.4167,-64.6167,82.2,89,40,12.66,VG,1627145454
